score,at,content,label,processing_result
3,10/19/2020 0:34,"Aplikasi ini bermanfaat untuk umum, tetapi saya agak jengkel. Ketika saya sudah mengerjakan salah satu soal tryout. Diakhir pembahasan. Saya hanya mengerjakan 3soal. 3 soal salah. Dan 4 soal dianggap kosong, padahal sudah saya kerjakan??",1,"['aplikasi', 'manfaat', 'jengkel', 'salah', 'soal', 'tryout', 'akhir', 'bahas', 'soal', 'soal', 'salah', 'soal', 'anggap', 'kosong', 'kerja']"
5,4/20/2022 5:28,Bagus yah bagus,2,"['bagus', 'yah', 'bagus']"
5,6/14/2022 13:35,Aplikasi nya bagus banget,2,"['aplikasi', 'nya', 'bagus', 'banget']"
3,2/2/2023 12:35,"Tadinya bintang 5 garagara penjelasan dari mentornya cepet dimengerti. Sekarang ganti bintang 3 karna apknya ngelag pas lagi niat belajarnya tinggi. Paling juga ntar disuruh keluar dari aplikasi terus masuk lagi, ato ga uninstal trus download ulang ckck. Semoga segera diperbaiki aplikasinya agar saya beri bintang 5 lagi.",1,"['bintang', 'garagara', 'jelas', 'mentor', 'cepet', 'erti', 'ganti', 'bintang', 'karna', 'apknya', 'ngelag', 'pas', 'niat', 'ajar', 'ntar', 'suruh', 'aplikasi', 'masuk', 'ato', 'ga', 'uninstal', 'trus', 'download', 'ulang', 'ckck', 'moga', 'baik', 'aplikasi', 'bintang']"
5,3/16/2022 9:00,aplikasinya keren dan membantu sekali saat menemui soal yang sulit dimengerti,2,"['aplikasi', 'keren', 'bantu', 'temu', 'soal', 'sulit', 'erti']"
5,2/20/2022 13:07,Mantap aplikasinya,2,"['mantap', 'aplikasi']"
1,4/23/2022 15:38,Lemot pdhl sering update jaringan 4g loh,0,"['lot', 'pdhl', 'update', 'jaring', 'g', 'loh']"
1,2/18/2022 11:20,Tolong jangan telepon mulu buat promosi. Sangat mengganggu,0,"['tolong', 'telepon', 'mulu', 'promosi', 'ganggu']"
1,6/28/2022 14:29,Malas lah gua Kenapa harus berbayar Segede gitu si Mana ad uang kami yg sederhana bisa belajar klo kek gitu,0,"['malas', 'gua', 'bayar', 'gede', 'gitu', 'si', 'ad', 'uang', 'yg', 'sederhana', 'ajar', 'klo', 'kek', 'gitu']"
4,3/25/2022 23:05,Belajar jadi lebih mudah,2,"['ajar', 'mudah']"
5,8/1/2022 11:32,BenarÂ²bisa mengubah sya jadi pintar ðŸ˜,2,"['ubah', 'sya', 'pintar']"
5,7/25/2022 23:57,zenius sangat membantu utk siswa yg msh ingin belajar tambahan.. sukses selalu zenius,2,"['zenius', 'bantu', 'utk', 'siswa', 'yg', 'msh', 'ajar', 'tambah', 'sukses', 'zenius']"
5,3/9/2022 1:15,"sudah lama pakai, zenius lalu ditinggalkan sekarang tampaknya ada update semoga sukses",2,"['lama', 'pakai', 'zenius', 'tinggal', 'ada', 'update', 'moga', 'sukses']"
3,3/31/2020 12:15,Saya sangat suka dengan zenius ini tetapi kenapa saat menjelaskan materi pesawat sederhana (kelas 5) tidak ada pembahasan tentang pesawat sederhana jenis bidang miring? Mohon jawabannya ??,1,"['suka', 'zenius', 'materi', 'pesawat', 'sederhana', 'kelas', 'tidak', 'ada', 'bahas', 'pesawat', 'sederhana', 'jenis', 'bidang', 'miring', 'mohon', 'jawab']"
1,4/15/2022 4:14,Aplikasi lelet menghambat proses belajar,0,"['aplikasi', 'lelet', 'hambat', 'proses', 'ajar']"
5,12/14/2022 15:30,"Zenius ini membantu bgt sih buat anak anak ambis, atau mau ngulang materi dari SD sampai SMA jg bisa ðŸ˜…ðŸ‘",2,"['zenius', 'bantu', 'bgt', 'sih', 'anak', 'anak', 'ambis', 'ngulang', 'materi', 'sd', 'sma', 'jg']"
5,5/13/2022 8:08,"Aplikasi dengan materi yang lengkap, tutornya juga asik. Kuisny juga bikin kita pinter. Bener2 membantu banget pokoknya.",2,"['aplikasi', 'materi', 'lengkap', 'tutor', 'asik', 'kuisny', 'bikin', 'pinter', 'bener', 'bantu', 'banget', 'pokok']"
5,12/6/2022 11:33,"Aplikasi zenius ini bagus banget , ga bisa berkata kata..ðŸ¤—",2,"['aplikasi', 'zenius', 'bagus', 'banget', 'ga']"
5,5/21/2022 13:46,"Aplikasinya menurutku multifungsi banget niih. Karena nggak hanya bisa dimanfaatkan untuk belajar daring saja, di Zenius ini juga tersedia salah satu fitur yang bisa dijadikan tempat berlatih dan mengasah kemampuan berpikir yaitu ZenCore. Dan menariknya, ZenCore ini bisa dimainkan siapa saja, tidak hanya siswa, profesional pun memanfaatkan fitur ZenCore.",2,"['aplikasi', 'turut', 'multifungsi', 'banget', 'niih', 'nggak', 'manfaat', 'ajar', 'daring', 'zenius', 'sedia', 'salah', 'fitur', 'jadi', 'latih', 'asah', 'mampu', 'pikir', 'zencore', 'tarik', 'zencore', 'main', 'tidak', 'siswa', 'profesional', 'manfaat', 'fitur', 'zencore']"
5,2/17/2022 1:01,"sangat senang dan asik belajar bareng zenius ga pernah bosen!, tambahan saran lebih bagus juga menyediakan untuk fitur kedinasan. karena saya",2,"['senang', 'asik', 'ajar', 'bareng', 'zenius', 'ga', 'bosen', 'tambah', 'saran', 'bagus', 'sedia', 'fitur', 'dinas']"
5,4/18/2022 0:26,"Zenius nggak pernah gagal sih. Jadi temen setia pas sekolah, sampe sekarang jadi budak kapitalis haha. ZenCore nggak ada lawan serunya, semangat banget ikut Pekan Olahraga Otaknya!",2,"['zenius', 'nggak', 'gagal', 'sih', 'temen', 'setia', 'pas', 'sekolah', 'sampe', 'budak', 'kapitalis', 'haha', 'zencore', 'nggak', 'ada', 'lawan', 'seru', 'semangat', 'banget', 'pekan', 'olahraga', 'otak']"
1,3/17/2022 12:09,"Aplikasi nya ga bagus ðŸ‘Ž, ngapain sih spam/nelponÂ²",0,"['aplikasi', 'nya', 'ga', 'bagus', 'ngapain', 'sih', 'spam', 'nelpon']"
5,11/29/2022 12:10,Bagus aplikasi ini ganti cara belajar ðŸ˜ŽðŸ‘,2,"['bagus', 'aplikasi', 'ganti', 'ajar']"
1,4/13/2022 13:47,"Overall aplikasinya bagus, tapi tolong fix lelet & ga bisa dibuka untuk materi nya, saya sangat terganggu dengan hal itu. Waktu UTBK tinggal sebentar lagi, tapi aplikasi malah error dan lelet tidak bisa dibuka, sangat membuang waktu. Saya sudah bayar mahal, tapi aplikasinya seperti ini? Kecewa dengan Zenius, mohon segera di perbaiki!",0,"['overall', 'aplikasi', 'bagus', 'tolong', 'fix', 'lelet', 'ga', 'buka', 'materi', 'nya', 'ganggu', 'utbk', 'tinggal', 'sebentar', 'aplikasi', 'error', 'lelet', 'tidak', 'buka', 'buang', 'bayar', 'mahal', 'aplikasi', 'kecewa', 'zenius', 'mohon', 'baik']"
2,8/24/2022 20:36,"awalnya bagus , tapi lama lama malah jadi sering bug dan vidio ga bisa diputar samasekali , mau login ulang jg susah",1,"['bagus', 'lama', 'lama', 'bug', 'vidio', 'ga', 'putar', 'samasekali', 'login', 'ulang', 'jg', 'susah']"
4,10/30/2022 23:59,Saya sudah update tapi kok tiap dibuka aplikasinya disuruh update lagi. Di googleplay juga sudah tidak ada opsi update. Bagaimana ini?,0,"['update', 'buka', 'aplikasi', 'suruh', 'update', 'googleplay', 'tidak', 'ada', 'opsi', 'update']"
3,4/18/2020 8:51,"Semuanya bagus sih, cuman klo mau ngerjain soal di app nya ko ngga bisa yah.... Soal dan gambarnya ngga nampak",1,"['bagus', 'sih', 'cuman', 'klo', 'ngerjain', 'soal', 'app', 'nya', 'ko', 'ngga', 'yah', 'soal', 'gambar', 'ngga', 'nampak']"
5,6/8/2022 8:30,Thanks Zenius ðŸ’œðŸ§¡,2,"['thanks', 'zenius']"
3,6/22/2020 10:49,"Sebenarnya sudah bagus, hanya saja live claas yang dihapus, lalu tidak tersedianya pembahasan try out, walau d liveclass, tpi ttp ada kekurangan sperti soal yang tidak dibahas. Saya harap itu disediakan kedepan",1,"['bagus', 'live', 'claas', 'hapus', 'tidak', 'sedia', 'bahas', 'try', 'out', 'd', 'liveclass', 'tpi', 'ttp', 'ada', 'kurang', 'sperti', 'soal', 'tidak', 'bahas', 'harap', 'sedia', 'depan']"
3,9/21/2020 10:35,Suka bngt sama apk iniii <3 tpi setelah diperbarui apknya gak bisa dibuka:(((,1,"['suka', 'bngt', 'apk', 'iniii', 'tpi', 'baru', 'apknya', 'gak', 'buka']"
5,1/8/2023 9:17,bagus bgt nih buat teman teman download aja ðŸµ,2,"['bagus', 'bgt', 'nih', 'teman', 'teman', 'download', 'aja']"
5,4/8/2022 8:15,Ngebantu banget buat ngejar materi utbk,2,"['ngebantu', 'banget', 'ngejar', 'materi', 'utbk']"
5,2/22/2022 13:16,keren sih yang awalnya gapaham samsek jadi paham,2,"['keren', 'sih', 'gapaham', 'samsek', 'paham']"
5,2/24/2022 4:02,Aplikasi luarbiasa,2,"['aplikasi', 'luarbiasa']"
4,4/21/2022 0:12,Kenapa saat data diri selalu salah terus ya tolong benerin lagi saya ingin belajar,0,"['data', 'salah', 'ya', 'tolong', 'benerin', 'ajar']"
2,4/27/2022 5:48,"Aneh saat nyari kombinatorika selalu muncul {""code"":404,""error_message"":""Could not find this route."",""message"":""Could not find this route.""}",0,"['aneh', 'nyari', 'kombinatorika', 'muncul', 'code', 'error', 'message', 'could', 'not', 'find', 'this', 'route', 'message', 'could', 'not', 'find', 'this', 'route']"
5,9/22/2022 1:18,The best,2,"['the', 'best']"
3,3/19/2020 3:47,"Saya senang belajar di zenius, tapi aplikasi minta diupdate terusss Klo ga diupdate gabisa di gunainn",1,"['senang', 'ajar', 'zenius', 'aplikasi', 'diupdate', 'terusss', 'klo', 'ga', 'diupdate', 'gabisa', 'gunainn']"
1,2/13/2022 9:59,Plis banget jangan suka nelpon2 ganggu banget tau.Kalo mau promosi setidaknya lewat yt/apk lain jangan menganggu seperti wa dan telponÂ².,0,"['plis', 'banget', 'suka', 'nelpon', 'ganggu', 'banget', 'tau', 'kalo', 'promosi', 'yt', 'apk', 'menganggu', 'wa', 'telpon']"
5,3/18/2022 4:50,Anak aku jadi pintar,2,"['anak', 'pintar']"
4,10/11/2022 2:53,"Materi videonya terlalu besar Zen ukurannya jadi loading-nya lama dan boros pemakaian internet. Terus untuk pemilihan kualitas video juga gak bisa, boleh ditambahin juga di setting nya supaya kualitas video nya bisa diatur secara default.",0,"['materi', 'video', 'zen', 'ukur', 'loading', 'nya', 'lama', 'boros', 'pakai', 'internet', 'pilih', 'kualitas', 'video', 'gak', 'ditambahin', 'setting', 'nya', 'kualitas', 'video', 'nya', 'atur', 'default']"
5,3/10/2022 10:08,"setelah di update kok deprak utbk hilang yaa?. bintang 5 dulu, kalo sampe besok deprak utbk masih gabisa, saya ubah jadi bintang 3",0,"['update', 'deprak', 'utbk', 'hilang', 'yaa', 'bintang', 'kalo', 'sampe', 'besok', 'deprak', 'utbk', 'gabisa', 'ubah', 'bintang']"
4,7/3/2022 14:41,I'm still confused where to start!!?,0,"['i', 'm', 'still', 'confused', 'where', 'to', 'start']"
5,6/2/2022 6:43,"Materinya mudah di mengerti, gurunya juga asik jadi ga bosen buat belajar",2,"['materi', 'mudah', 'erti', 'guru', 'asik', 'ga', 'bosen', 'ajar']"
5,2/18/2022 12:20,"aplikasi ini sangat membantu,saya mengerjakan tugas dengan mudah dan aplikasi ini membuat jadi semangat kitaðŸ‘ðŸ‘ðŸ‘ðŸ‘",2,"['aplikasi', 'bantu', 'tugas', 'mudah', 'aplikasi', 'semangat']"
5,7/22/2022 3:18,"Awal nya sedikit kecewa, karena soal utbk sbmptn agak sedikit beda, tetapi saya tetap berterimakasih dengan latihan soal yang mengasah logika berfikir saya, sehingga saya lulus sbmptn dan diterima di universitas idaman saya di fakultas hukum, sekali lagi terimakasih zeniuss",2,"['nya', 'kecewa', 'soal', 'utbk', 'sbmptn', 'beda', 'berterimakasih', 'latih', 'soal', 'asah', 'logika', 'berfikir', 'lulus', 'sbmptn', 'terima', 'universitas', 'idam', 'fakultas', 'hukum', 'terimakasih', 'zeniuss']"
5,7/20/2022 11:32,Aplikasi recommended banget Buat belajar,2,"['aplikasi', 'recommended', 'banget', 'ajar']"
5,7/19/2022 7:21,Mantap euy,2,"['mantap', 'euy']"
5,5/13/2022 5:57,"Belajar jadi menyenangkan pake Zenius, materinya juga bagus dan lengkap. Suka banget sama fitur Zenbot yang membantu jawab semua tugas",2,"['ajar', 'senang', 'pake', 'zenius', 'materi', 'bagus', 'lengkap', 'suka', 'banget', 'fitur', 'zenbot', 'bantu', 'jawab', 'tugas']"
4,3/10/2022 21:14,soal-soal latihan ipa dan bahasanya kurang banyak.,0,"['soal', 'soal', 'latih', 'ipa', 'bahasa', 'kurang']"
5,7/5/2022 8:36,"Aplikasi yg mudah digunakan dan menyenangkan untuk anak saya yang gaya belajarnya kinestetis. Ada fitur ZenBot yg keren, sangat membantu menyelesaikan soalÂ² penuh tantangan. Trus, saya juga ikutan mencoba kuis-kuis Verbal dan Logika, Matematika, Bahasa Inggris dan Sains di fitur ZenCore. Bikin ketagihan mengasah skill dan knowledge. Pingin naik level terussss. Thanks Zenius!",2,"['aplikasi', 'yg', 'mudah', 'senang', 'anak', 'gaya', 'ajar', 'kinestetis', 'ada', 'fitur', 'zenbot', 'yg', 'keren', 'bantu', 'selesai', 'soal', 'penuh', 'tantang', 'trus', 'ikut', 'coba', 'kuis', 'kuis', 'verbal', 'logika', 'matematika', 'bahasa', 'inggris', 'sains', 'fitur', 'zencore', 'bikin', 'tagih', 'asah', 'skill', 'knowledge', 'pingin', 'level', 'terussss', 'thanks', 'zenius']"
5,6/23/2022 3:48,Ini sangat membantu saya untuk belajar dan bermanfaat ðŸ‘ðŸ‘ðŸ™,2,"['bantu', 'ajar', 'manfaat']"
1,5/18/2022 5:39,Saat Udah Login/Daftar Di Apk Zenius Entah Kenapa No Gua Ke Spam Telfon Dengan Alasan CS ZENIUS plis lah kalo kayak gini siapa yang betah anj,0,"['udah', 'login', 'daftar', 'apk', 'zenius', 'no', 'gua', 'spam', 'telfon', 'alas', 'cs', 'zenius', 'plis', 'kalo', 'kayak', 'gin', 'betah', 'anj']"
5,7/19/2022 19:25,"mantep euy gaya pembelajaran yang mudah di mengerti sekali, lebih suka yang ngajarin dengan coretan coretan daripada dengan animasi kek anak anak.",2,"['mantep', 'euy', 'gaya', 'ajar', 'mudah', 'erti', 'suka', 'ngajarin', 'coret', 'coret', 'animasi', 'kek', 'anak', 'anak']"
5,9/27/2022 3:24,Pelatihan yg sangat memuaskanðŸ‘ðŸ¤²ðŸ™,2,"['latih', 'yg', 'muas']"
1,9/4/2022 7:20,Yang ditanya apa yang ditampilkan beda perbaiki lagi,0,"['tampil', 'beda', 'baik']"
5,7/24/2022 13:22,makasih.. aplikasi nya sngat bermanfaat.. ðŸ™ðŸ˜,2,"['makasih', 'aplikasi', 'nya', 'sngat', 'manfaat']"
5,5/6/2022 1:59,Apk nya bgs bgt ðŸŒ·ðŸŒ·,2,"['apk', 'nya', 'bgs', 'bgt']"
1,2/7/2022 21:55,Fitur mengganti tingkatan kelasnya mana sih? Bagus yang tampilan dulu.,0,"['fitur', 'ganti', 'tingkat', 'kelas', 'sih', 'bagus', 'tampil']"
5,6/11/2022 10:09,suka baangeettðŸ˜­ðŸ˜­ðŸ‘ðŸ‘ makasihhh,2,"['suka', 'baangeett', 'makasihhh']"
3,11/30/2019 5:55,"Apps nya ngebantu bgt tp kalo hbs lihat 3vidio trus macet gk bisa liat vidio ke 4 muter2 doang, solusinya gimana ya",1,"['apps', 'nya', 'ngebantu', 'bgt', 'tp', 'kalo', 'hbs', 'lihat', 'vidio', 'trus', 'macet', 'gk', 'liat', 'vidio', 'muter', 'doang', 'solusi', 'gimana', 'ya']"
5,3/10/2022 12:35,sangat bermanfaat bagi guru dan siswa,2,"['manfaat', 'guru', 'siswa']"
5,12/15/2022 9:45,Sangat bermanfaat,2,['manfaat']
1,11/14/2022 11:15,Ngkk bisa d bukaa!! Awalnya katanya disuruh perparui pas udah d perbarui ttp ngk bisa k buka,0,"['ngkk', 'd', 'bukaa', 'suruh', 'paru', 'pas', 'udah', 'd', 'baru', 'ttp', 'ngk', 'k', 'buka']"
2,8/24/2022 2:13,"suaranya kecil, udah update berkali-kali masalah ini ga dipedulikan. volume suara hp sudah besar tapi tetep kecil suaranya jadi ga nyaman pas nonton",0,"['suara', 'udah', 'update', 'kali', 'kali', 'ga', 'peduli', 'volume', 'suara', 'hp', 'tetep', 'suara', 'ga', 'nyaman', 'pas', 'nonton']"
3,1/14/2023 5:53,"Ayo dong dibenerin lagi aplikasinya macet parah loading lama kalo ganti materi ke materi berikutnya trus ngeblank fitur ""materi selanjutnya.."" ga bisa dipencet, belum lagi durasi video yg kadang ga ikut jalan dan ga bisa di like sama ""videonya ga ada, nih.."" sering banget itu muncul ditengah tengah nonton vid please lah capek banget ga enjoy belajar jadinya. Kalo bukan materinya yg ringkas, mudah dipahami dan bagus dah aku hapus ini app",0,"['ayo', 'dibenerin', 'aplikasi', 'macet', 'parah', 'loading', 'lama', 'kalo', 'ganti', 'materi', 'materi', 'trus', 'ngeblank', 'fitur', 'materi', 'ga', 'pencet', 'belum', 'durasi', 'video', 'yg', 'kadang', 'ga', 'jalan', 'ga', 'like', 'video', 'ga', 'ada', 'nih', 'banget', 'muncul', 'tengah', 'nonton', 'vid', 'please', 'capek', 'banget', 'ga', 'enjoy', 'ajar', 'kalo', 'materi', 'yg', 'ringkas', 'mudah', 'paham', 'bagus', 'dah', 'hapus', 'app']"
1,6/14/2022 2:26,"mereka menyerbu sekolah saya, dan memaksa untuk install apk ini saya sgt kecewa saya yg harusnya belajar malah ter ganggu dengan kedatangan merekaðŸ˜¡ðŸ‘¿ðŸ‘¿ðŸ‘¿ðŸ‘º",0,"['serbu', 'sekolah', 'paksa', 'install', 'apk', 'sgt', 'kecewa', 'yg', 'ajar', 'ter', 'ganggu', 'datang']"
5,4/10/2022 6:41,"Mudah dipahami, semoga harimu menyenangkan",2,"['mudah', 'paham', 'moga', 'hari', 'senang']"
5,8/26/2022 7:00,"Ngebug bgtttt :""(",0,"['ngebug', 'bgtttt']"
3,10/2/2022 7:40,Lemot buangett zenn. Tolong ditingkatin lagi dongg.,0,"['lot', 'buangett', 'zenn', 'tolong', 'ditingkatin', 'dongg']"
1,10/9/2022 14:29,"apk nya udh bgus, tapi gw nya yg jahat yhahahaha . . . . . . . . . . . . . tpi boong, emng apk nya jelek",0,"['apk', 'nya', 'udh', 'bgus', 'gw', 'nya', 'yg', 'jahat', 'yhahahaha', 'tpi', 'boong', 'emng', 'apk', 'nya', 'jelek']"
1,2/20/2022 4:43,Kalau tanya soal mtk sama bot bilangnya akan menjawab soal dalam 24 jam nyatanya ga pernah ke jawab,0,"['soal', 'mtk', 'bot', 'bilang', 'soal', 'jam', 'ga', 'jawab']"
5,6/28/2022 13:51,"Awalnya mau nyari bimbingan belajar untuk anak-anak, tapi setelah saya telaah lebih jauh ternyata saya ketagihan memakai aplikasi ini, karena bisa merefresh ilmu-ilmu yang pernah dipelajari dan sempat terlupa. Jadilah belajar jadi lebih menyenangkan, baik untuk diri sendiri dan bersama anak-anak",2,"['nyari', 'bimbing', 'ajar', 'anak', 'anak', 'telaah', 'tagih', 'pakai', 'aplikasi', 'merefresh', 'ilmu', 'ilmu', 'ajar', 'lupa', 'ajar', 'senang', 'anak', 'anak']"
5,8/14/2022 3:22,bagus ko aplikasinya,2,"['bagus', 'ko', 'aplikasi']"
5,3/10/2022 9:40,sangat bermanfaat guna membangun karakter siswa.,2,"['manfaat', 'bangun', 'karakter', 'siswa']"
1,3/14/2022 10:12,"Apk zenius aku gak bisa dibuka. Ada yang salah, terus aku muat ulang tetep aja gak bisa. Mohon diperbaiki lagi",0,"['apk', 'zenius', 'gak', 'buka', 'ada', 'salah', 'muat', 'ulang', 'tetep', 'aja', 'gak', 'mohon', 'baik']"
5,4/10/2022 7:09,Bagus banget fitur zencorenya tapi buat kuota boros banget harap diperhatikan ya....,1,"['bagus', 'banget', 'fitur', 'zencorenya', 'kuota', 'boros', 'banget', 'harap', 'perhati', 'ya']"
3,1/28/2020 12:24,"Oke untuk aps zenius udah bagus cuma satu kekurangan ya menurut saya yaitu tidak ringkasan materi, yang saya temukan hanya vidio emang sih bagus tapikan kalau orang yang mau belajar tapi kouta limit gimana? Cuba untuk lebih diperhatikan lagi untuk kepuasan konsumen. Berilah rangkuman menteri yang bukan berisi vidio melainkan teks beserta animasi supaya lebih nyaman belajar y",1,"['oke', 'aps', 'zenius', 'udah', 'bagus', 'kurang', 'ya', 'tidak', 'ringkas', 'materi', 'temu', 'vidio', 'emang', 'sih', 'bagus', 'tapi', 'orang', 'ajar', 'kouta', 'limit', 'gimana', 'cuba', 'perhati', 'puas', 'konsumen', 'ilah', 'rangkum', 'menteri', 'isi', 'vidio', 'teks', 'serta', 'animasi', 'nyaman', 'ajar', 'y']"
5,3/20/2022 5:23,iya cuy apk ini bikin aku pinter padahal aku dulunya belum pinter sekarang aku jadi pintar karna apk ini!!!!!!!!!! cepetan download,2,"['iya', 'cuy', 'apk', 'bikin', 'pinter', 'dulunya', 'belum', 'pinter', 'pintar', 'karna', 'apk', 'cepetan', 'download']"
5,3/23/2022 2:43,"Pengalaman saya pakai zenius buat anak saya, anak saya mendapat ranking 2 di kelas nya, dan masuk lomba pesona edu bahasa Inggris. Belajar dengan zenius gampang di pahami dan di mengerti good zenius five starr",2,"['alam', 'pakai', 'zenius', 'anak', 'anak', 'ranking', 'kelas', 'nya', 'masuk', 'lomba', 'pesona', 'edu', 'bahasa', 'inggris', 'ajar', 'zenius', 'gampang', 'paham', 'erti', 'good', 'zenius', 'five', 'starr']"
3,2/21/2022 9:09,"Halo zenius, ini kenapa pelajarannya cuma tiga? Tolong tambahin beberapa pelajaran lain dong! Tolong diperbaiki.",0,"['halo', 'zenius', 'ajar', 'tolong', 'tambahin', 'ajar', 'tolong', 'baik']"
5,8/26/2022 5:43,"Terimakasih zenius, apk yang sangat membantu aku dalam persiapan sbmptn 22.",2,"['terimakasih', 'zenius', 'apk', 'bantu', 'siap', 'sbmptn']"
5,11/30/2022 4:50,sangat puas karena yang diberikan kita cepat mengerti dan mudah untuk diajarkan,2,"['puas', 'cepat', 'erti', 'mudah', 'ajar']"
4,4/9/2022 14:30,"Di Zenius, lebih mudah memahami pelajaran dibandingkan dengan di sekolah. Dan juga sekarang videonya bisa diunduh, tapi sering kali terjadi masalah saat mengunduh videonya, progres unduhannya tidak berjalan dan videonya juga tidak bisa diputar. Tolong diperbaiki untuk masalah ini:)",1,"['zenius', 'mudah', 'paham', 'ajar', 'banding', 'sekolah', 'video', 'unduh', 'kali', 'unduh', 'video', 'progres', 'unduh', 'tidak', 'jalan', 'video', 'tidak', 'putar', 'tolong', 'baik']"
5,6/30/2022 12:50,Aplikasinya berguna bangetðŸ‘ðŸ»ðŸ˜,2,"['aplikasi', 'guna', 'banget']"
3,4/2/2022 21:46,"Aplikasi nya bagus sih, tapi kenapa untuk masalah contoh soal sering tidak sesuai dengan materi per video, dan pembahasannya juga terkadang tidak mudah dimengerti, lebih mudah dari yt juga. Masalah jaringan juga perlu diperbaiki, jaringan bagus tapi sering lemot, dan progress kadang tidak terdeteksi sistem. Mohon diperbaiki",1,"['aplikasi', 'nya', 'bagus', 'sih', 'contoh', 'soal', 'tidak', 'sesuai', 'materi', 'video', 'bahas', 'terkadang', 'tidak', 'mudah', 'erti', 'mudah', 'yt', 'jaring', 'baik', 'jaring', 'bagus', 'lot', 'progress', 'kadang', 'tidak', 'deteksi', 'sistem', 'mohon', 'baik']"
5,1/13/2023 8:59,Bagus banget aplikasi zenius bisa bikin aku lebih pinter,2,"['bagus', 'banget', 'aplikasi', 'zenius', 'bikin', 'pinter']"
1,6/22/2022 2:10,Apk apaan si apaÂ²harus pake email+ nmr hp padahal udh bener eh pas dibuka apk ini malah susah lgiðŸ˜ŒðŸ˜Œpadahal pengen banget apk ini malah gk bisaðŸ˜ª,0,"['apk', 'si', 'pake', 'email', 'nmr', 'hp', 'udh', 'bener', 'eh', 'pas', 'buka', 'apk', 'susah', 'lgi', 'ken', 'banget', 'apk', 'gk']"
3,4/9/2020 2:18,"Saya suka dengan aplikasi ini. Tetapi masih ada soal pilihan ganda yang termuat di aplikasi ini yang tidak sesuai dengan pilihannya. Dengan kata lain pilihan jawabannya salah semua. Sedangkan di video pembahasannya dibenarkan. Tapi wajar, karena soalnya memang sesuai dengan pilihan yang ada. Saya harap soal di aplikasi ini bisa dikaji kembali. Terimakasih",1,"['suka', 'aplikasi', 'ada', 'soal', 'pilih', 'ganda', 'muat', 'aplikasi', 'tidak', 'sesuai', 'pilih', 'pilih', 'jawab', 'salah', 'video', 'bahas', 'benar', 'wajar', 'sesuai', 'pilih', 'ada', 'harap', 'soal', 'aplikasi', 'kaji', 'terimakasih']"
